customer_id,age,gender,location,acquisition_date,total_orders,total_spent,avg_order_value,days_since_last_purchase,preferred_categories,customer_lifetime_value,support_tickets,email_open_rate,email_click_rate,mobile_usage_pct,return_rate,q4_purchase_ratio,days_as_customer
CUST_00001,30,M,San Antonio,2023-03-06 20:08:10.612135,7,539.94,75.56,46,Electronics,653.59,2,0.592,0.219,0.4,0.152,0.754,867
CUST_00002,55,F,Houston,2022-09-10 20:08:10.612135,8,1343.7,173.26,24,"Clothing, Sports",1578.59,4,0.261,0.02,0.414,0.083,0.541,1044
CUST_00003,45,F,Los Angeles,2024-02-04 20:08:10.612135,12,498.7,41.73,10,"Electronics, Books",669.78,3,0.242,0.018,0.449,0.047,0.879,532
CUST_00004,40,M,Phoenix,2023-12-04 20:08:10.612135,11,1906.89,173.49,28,"Electronics, Beauty, Books",2492.76,0,0.047,0.034,0.838,0.081,1.054,594
CUST_00005,25,F,Austin,2023-10-21 20:08:10.612135,6,496.14,82.73,86,"Home, Beauty, Electronics",638.06,4,0.08,0.027,0.122,0.098,0.929,638
CUST_00006,25,M,Austin,2023-05-02 20:08:10.612135,10,580.27,57.6,62,Home,711.01,0,0.219,0.074,0.546,0.021,0.715,810
CUST_00007,25,F,Chicago,2023-02-15 20:08:10.612135,8,404.76,48.72,28,"Books, Clothing, Beauty",488.13,2,0.121,0.021,0.256,0.061,0.65,886
CUST_00008,50,F,Dallas,2023-01-15 20:08:10.612135,7,559.47,81.54,3,"Beauty, Electronics, Home",670.82,1,0.519,0.093,0.547,0.051,1.008,917
CUST_00009,40,M,Philadelphia,2024-12-01 20:08:10.612135,12,1574.22,132.3,12,"Sports, Beauty",2817.92,3,0.134,0.013,0.854,0.032,0.477,231
CUST_00010,40,M,New York,2022-09-24 20:08:10.612135,15,1961.11,132.4,1,Clothing,2308.58,3,0.066,0.029,0.61,0.222,0.566,1030
CUST_00011,18,M,Chicago,2022-09-20 20:08:10.612135,6,603.95,101.73,11,Sports,710.55,1,0.546,0.328,0.857,0.015,0.98,1034
CUST_00012,55,F,Jacksonville,2023-01-28 20:08:10.612135,9,2192.77,239.47,43,"Sports, Electronics",2635.44,1,0.537,0.063,0.974,0.041,0.75,904
CUST_00013,45,F,Houston,2023-10-11 20:08:10.612135,15,1320.82,87.44,79,Clothing,1692.82,1,0.446,0.039,0.912,0.026,0.464,648
CUST_00014,30,F,Dallas,2023-11-09 20:08:10.612135,11,1719.66,157.95,3,"Home, Beauty, Books",2226.67,3,0.453,0.048,0.779,0.013,0.806,619
CUST_00015,25,M,Austin,2025-05-20 20:08:10.612135,9,648.99,73.22,21,"Beauty, Clothing",2590.64,5,0.258,0.053,0.646,0.206,1.041,61
CUST_00016,25,M,Philadelphia,2022-09-13 20:08:10.612135,6,207.47,35.03,34,Home,243.85,3,0.216,0.08,0.752,0.026,1.0,1041
CUST_00017,30,M,Houston,2023-09-01 20:08:10.612135,11,1211.16,110.45,12,"Home, Beauty, Sports",1532.44,5,0.132,0.021,0.918,0.353,0.808,688
CUST_00018,35,M,New York,2024-11-26 20:08:10.612135,15,1921.47,127.91,13,Sports,3407.35,4,0.023,0.007,0.251,0.226,0.717,236
CUST_00019,35,F,San Diego,2023-10-15 20:08:10.612135,14,2223.6,154.75,1,"Electronics, Home",2853.73,1,0.441,0.106,0.913,0.002,0.816,644
CUST_00020,30,F,Austin,2025-01-25 20:08:10.612135,20,1680.13,83.43,5,"Electronics, Sports",3422.32,3,0.376,0.079,0.823,0.273,0.997,176
CUST_00021,40,F,Los Angeles,2024-02-10 20:08:10.612135,9,582.1,64.36,1,"Clothing, Beauty",784.07,3,0.325,0.128,0.396,0.221,1.065,526
CUST_00022,25,M,Austin,2022-08-03 20:08:10.612135,7,835.5,126.18,4,"Books, Clothing",976.42,4,0.334,0.048,0.953,0.275,0.776,1082
CUST_00023,30,F,Austin,2023-06-12 20:08:10.612135,8,1171.88,157.88,4,Beauty,1450.0,2,0.647,0.119,0.52,0.179,0.659,769
CUST_00024,30,F,San Diego,2024-12-02 20:08:10.612135,18,2567.58,143.32,44,"Sports, Beauty",4604.91,4,0.504,0.228,0.681,0.188,0.785,230
CUST_00025,35,F,Philadelphia,2024-06-16 20:08:10.612135,15,298.73,20.0,36,"Beauty, Clothing, Books",435.37,0,0.387,0.085,0.766,0.083,0.797,399
CUST_00026,45,F,San Diego,2024-02-10 20:08:10.612135,13,2200.73,165.13,34,Sports,2964.29,2,0.706,0.059,0.642,0.054,1.051,526
CUST_00027,25,M,Philadelphia,2023-06-04 20:08:10.612135,8,961.61,119.22,7,Books,1187.47,2,0.306,0.081,0.76,0.173,0.982,777
CUST_00028,35,M,Phoenix,2023-10-04 20:08:10.612135,6,428.16,67.12,44,"Sports, Home",547.46,0,0.472,0.057,0.466,0.067,0.781,655
CUST_00029,40,F,Phoenix,2024-06-09 20:08:10.612135,11,1137.37,101.74,26,"Sports, Clothing",1648.63,3,0.385,0.122,0.557,0.051,1.015,406
CUST_00030,18,M,San Jose,2023-02-15 20:08:10.612135,3,294.89,94.93,86,Beauty,355.63,0,0.63,0.209,0.595,0.015,0.523,886
CUST_00031,40,M,San Jose,2023-01-26 20:08:10.612135,10,1476.47,145.96,25,Sports,1773.89,0,0.279,0.017,0.678,0.013,1.112,906
CUST_00032,25,F,Austin,2024-09-06 20:08:10.612135,7,863.87,127.52,1,"Beauty, Clothing, Sports",1361.21,2,0.56,0.058,0.527,0.057,1.025,317
CUST_00033,25,F,San Diego,2023-02-04 20:08:10.612135,8,675.09,83.73,29,"Beauty, Sports",812.45,1,0.359,0.191,0.784,0.05,0.874,897
CUST_00034,55,F,San Antonio,2024-07-25 20:08:10.612135,4,700.39,165.56,88,Books,1055.45,2,0.109,0.009,0.373,0.021,0.486,360
CUST_00035,55,M,San Diego,2024-06-24 20:08:10.612135,7,1511.63,212.07,30,Beauty,2217.19,1,0.081,0.036,0.783,0.151,1.115,391
CUST_00036,45,M,Jacksonville,2024-01-13 20:08:10.612135,15,420.51,28.44,12,"Clothing, Home, Electronics",559.03,2,0.238,0.105,0.621,0.015,0.907,554
CUST_00037,30,F,San Diego,2022-10-17 20:08:10.612135,16,2698.4,165.98,7,"Sports, Electronics, Clothing",3187.43,0,0.191,0.066,0.542,0.083,0.938,1007
CUST_00038,25,F,San Antonio,2025-02-15 20:08:10.612135,6,523.09,91.19,6,"Clothing, Electronics",1138.98,2,0.486,0.133,0.378,0.034,0.954,155
CUST_00039,40,F,Los Angeles,2023-04-02 20:08:10.612135,12,1361.53,116.91,15,"Books, Beauty",1657.33,1,0.478,0.162,0.556,0.092,0.931,840
CUST_00040,35,F,Austin,2024-09-03 20:08:10.612135,15,1126.61,76.05,3,"Books, Home",1769.12,2,0.424,0.053,0.193,0.085,0.718,320
CUST_00041,25,F,Dallas,2022-12-29 20:08:10.612135,8,1123.81,135.34,3,Clothing,1343.4,2,0.651,0.216,0.566,0.329,1.09,934
CUST_00042,35,F,San Antonio,2024-03-12 20:08:10.612135,12,1200.61,100.38,25,Clothing,1643.26,3,0.673,0.096,0.28,0.22,0.377,495
CUST_00043,18,M,Jacksonville,2024-07-30 20:08:10.612135,10,736.24,73.16,72,Electronics,1114.73,1,0.521,0.168,0.455,0.33,0.784,355
CUST_00044,50,F,Austin,2023-08-18 20:08:10.612135,10,731.78,74.08,37,"Sports, Home, Clothing",922.02,5,0.164,0.022,0.34,0.155,0.515,702
CUST_00045,30,F,Philadelphia,2022-12-10 20:08:10.612135,9,759.78,85.28,10,"Clothing, Beauty, Electronics",905.28,3,0.096,0.038,0.459,0.009,1.039,953
CUST_00046,40,F,Dallas,2022-10-22 20:08:10.612135,13,1236.5,93.73,6,"Electronics, Books",1461.71,1,0.404,0.13,0.818,0.012,0.91,1002
CUST_00047,30,F,New York,2023-10-30 20:08:10.612135,9,1067.48,124.24,33,Sports,1377.2,2,0.73,0.16,0.446,0.192,0.594,629
CUST_00048,35,F,Austin,2024-03-04 20:08:10.612135,11,1458.92,128.29,16,"Books, Home, Clothing",1988.25,2,0.43,0.157,0.63,0.025,0.774,503
CUST_00049,35,M,Los Angeles,2022-12-31 20:08:10.612135,13,1048.2,81.11,12,"Books, Beauty",1253.46,2,0.561,0.117,0.333,0.125,0.787,932
CUST_00050,25,F,New York,2023-11-09 20:08:10.612135,9,870.82,95.0,30,Clothing,1127.57,3,0.463,0.104,0.516,0.167,1.088,619
CUST_00051,55,M,San Jose,2023-02-12 20:08:10.612135,7,1426.66,204.66,4,Clothing,1719.53,0,0.463,0.133,0.717,0.17,0.676,889
CUST_00052,45,F,Jacksonville,2024-09-06 20:08:10.612135,9,1428.54,159.25,25,Books,2250.96,2,0.347,0.086,0.832,0.032,1.003,317
CUST_00053,55,M,Chicago,2024-02-10 20:08:10.612135,5,500.62,102.31,15,Home,674.31,0,0.109,0.036,0.543,0.049,0.743,526
CUST_00054,50,M,Austin,2025-02-03 20:08:10.612135,1,123.34,123.34,27,"Clothing, Beauty",258.13,1,0.866,0.119,0.232,0.199,0.984,167
CUST_00055,40,M,Phoenix,2024-08-06 20:08:10.612135,6,844.89,134.08,24,Electronics,1287.97,1,0.081,0.032,0.878,0.144,0.939,348
CUST_00056,50,F,New York,2023-06-19 20:08:10.612135,5,681.78,137.28,63,Books,845.07,0,0.558,0.063,0.667,0.215,0.293,762
CUST_00057,25,M,Houston,2024-08-17 20:08:10.612135,17,1598.47,96.02,11,"Books, Home, Beauty",2464.11,4,0.179,0.031,0.337,0.184,0.929,337
CUST_00058,25,M,San Diego,2024-07-17 20:08:10.612135,9,552.36,63.02,67,Books,826.29,3,0.503,0.092,0.682,0.037,0.873,368
CUST_00059,18,F,Philadelphia,2023-09-23 20:08:10.612135,8,198.76,24.48,9,"Electronics, Sports",253.22,2,0.266,0.076,0.602,0.335,0.998,666
CUST_00060,30,M,New York,2024-01-18 20:08:10.612135,9,1306.71,136.03,19,"Books, Home, Beauty",1741.09,4,0.488,0.107,0.91,0.055,0.838,549
CUST_00061,30,F,Jacksonville,2022-12-14 20:08:10.612135,17,2975.38,177.93,22,"Beauty, Sports, Electronics",3547.57,1,0.073,0.011,0.778,0.068,0.922,949
CUST_00062,30,F,New York,2023-07-06 20:08:10.612135,10,1193.19,121.75,12,"Electronics, Books, Sports",1485.48,3,0.258,0.086,0.456,0.131,0.834,745
CUST_00063,45,F,Chicago,2025-07-18 20:08:10.612135,13,1441.34,110.27,6,Clothing,132964.02,3,0.552,0.126,0.431,0.076,0.823,2
CUST_00064,30,M,San Jose,2023-12-04 20:08:10.612135,11,2203.56,202.3,23,"Sports, Books, Electronics",2880.58,3,0.293,0.21,0.793,0.063,1.096,594
CUST_00065,30,F,San Diego,2023-06-20 20:08:10.612135,7,750.99,106.99,35,"Books, Sports, Electronics",931.09,2,0.366,0.048,0.403,0.062,0.884,761
CUST_00066,35,M,Austin,2025-02-21 20:08:10.612135,14,2480.89,178.89,15,Home,5519.57,4,0.205,0.11,0.64,0.141,1.088,149
CUST_00067,25,F,Austin,2024-09-05 20:08:10.612135,9,495.7,55.18,1,"Books, Home",780.18,1,0.069,0.031,0.731,0.096,0.808,318
CUST_00068,45,M,San Diego,2024-01-24 20:08:10.612135,12,1575.99,135.28,78,"Books, Clothing",2105.67,4,0.433,0.038,0.36,0.03,0.612,543
CUST_00069,25,F,Chicago,2023-10-13 20:08:10.612135,6,649.2,110.1,19,"Home, Sports",832.61,2,0.569,0.2,0.537,0.216,0.968,646
CUST_00070,60,M,San Antonio,2024-05-15 20:08:10.612135,6,1265.51,196.74,46,Beauty,1801.37,2,0.469,0.137,0.481,0.263,0.584,431
CUST_00071,45,F,Jacksonville,2022-11-12 20:08:10.612135,14,3108.66,221.42,36,"Clothing, Books, Sports",3686.98,2,0.344,0.085,0.226,0.006,0.714,981
CUST_00072,25,F,Chicago,2023-11-02 20:08:10.612135,7,812.67,120.52,32,Beauty,1049.59,3,0.57,0.14,0.886,0.009,0.789,626
CUST_00073,18,F,Houston,2022-09-24 20:08:10.612135,9,336.41,37.27,10,"Electronics, Clothing, Sports",396.01,3,0.723,0.317,0.763,0.175,0.859,1030
CUST_00074,45,M,Dallas,2024-04-27 20:08:10.612135,11,922.4,84.88,13,"Books, Home",1297.31,2,0.401,0.094,0.871,0.029,0.469,449
CUST_00075,40,Other,Houston,2024-10-19 20:08:10.612135,10,911.95,86.82,20,"Electronics, Clothing",1519.37,1,0.541,0.159,0.638,0.127,1.087,274
CUST_00076,40,F,Chicago,2024-01-20 20:08:10.612135,11,890.92,82.97,20,"Sports, Clothing",1188.17,1,0.456,0.241,0.815,0.229,0.532,547
CUST_00077,45,F,Phoenix,2022-12-03 20:08:10.612135,12,1198.47,98.33,11,"Electronics, Home",1426.3,0,0.078,0.015,0.324,0.018,1.163,960
CUST_00078,25,M,San Antonio,2023-09-26 20:08:10.612135,5,341.5,68.91,9,"Beauty, Clothing",435.5,0,0.138,0.073,0.279,0.003,0.758,663
CUST_00079,30,F,Phoenix,2024-04-25 20:08:10.612135,10,912.76,94.65,7,"Beauty, Electronics, Sports",1282.11,3,0.452,0.061,0.688,0.13,0.6,451
CUST_00080,25,M,Houston,2023-09-29 20:08:10.612135,6,672.64,107.62,31,Beauty,858.63,1,0.478,0.052,0.372,0.049,1.01,660
CUST_00081,50,M,San Diego,2025-05-08 20:08:10.612135,2,456.22,205.53,14,"Beauty, Home",1596.77,2,0.23,0.095,0.572,0.083,0.643,73
CUST_00082,40,M,Houston,2024-10-08 20:08:10.612135,10,1935.76,194.19,28,Sports,3175.32,4,0.136,0.072,0.358,0.147,0.899,285
CUST_00083,30,F,Los Angeles,2025-02-14 20:08:10.612135,12,1196.87,99.87,11,"Books, Sports, Clothing",2597.05,2,0.313,0.059,0.85,0.042,0.894,156
